iter	Passed	Remaining
0	152	152843
1	154	77075
2	155	51720
3	156	39030
4	157	31436
5	159	26506
6	161	22908
7	162	20182
8	163	18040
9	164	16333
10	166	14925
11	167	13749
12	167	12750
13	169	11904
14	170	11163
15	171	10533
16	173	10032
17	174	9527
18	175	9080
19	177	8674
20	178	8300
21	179	7964
22	180	7655
23	181	7388
24	182	7125
25	183	6879
26	185	6668
27	187	6503
28	188	6322
29	190	6148
30	191	5976
31	192	5821
32	193	5671
33	194	5539
34	196	5406
35	196	5274
36	199	5179
37	200	5085
38	202	4983
39	203	4886
40	204	4789
41	206	4698
42	206	4606
43	208	4519
44	209	4445
45	212	4408
46	214	4348
47	215	4278
48	217	4213
49	218	4149
50	219	4085
51	220	4023
52	221	3960
53	222	3899
54	224	3853
55	226	3823
56	228	3781
57	230	3739
58	231	3691
59	232	3645
60	233	3598
61	234	3553
62	236	3510
63	237	3468
64	239	3447
65	241	3422
66	243	3384
67	244	3349
68	245	3311
69	246	3273
70	247	3236
71	248	3201
72	249	3170
73	250	3136
74	251	3103
75	253	3081
76	255	3062
77	256	3034
78	257	3004
79	258	2974
80	259	2945
81	260	2918
82	261	2887
83	262	2862
84	263	2836
85	264	2812
86	266	2793
87	269	2792
88	271	2775
89	272	2759
90	274	2741
91	275	2721
92	277	2702
93	278	2686
94	280	2674
95	282	2661
96	284	2648
97	286	2638
98	287	2620
99	289	2605
100	290	2589
101	292	2571
102	294	2560
103	296	2555
104	297	2539
105	299	2523
106	300	2507
107	301	2491
108	302	2475
109	304	2459
110	305	2442
111	306	2428
112	308	2420
113	309	2408
114	311	2396
115	312	2382
116	313	2366
117	314	2351
118	315	2337
119	316	2322
120	317	2308
121	318	2293
122	319	2279
123	321	2267
124	323	2265
125	324	2254
126	326	2243
127	327	2232
128	328	2220
129	329	2208
130	331	2196
131	332	2184
132	333	2173
133	334	2162
134	335	2152
135	337	2146
136	339	2137
137	340	2128
138	342	2118
139	343	2108
140	344	2098
141	345	2085
142	346	2075
143	347	2066
144	348	2055
145	350	2052
146	352	2047
147	354	2040
148	355	2032
149	357	2023
150	358	2014
151	359	2008
152	361	1999
153	362	1991
154	363	1983
155	365	1977
156	367	1975
157	369	1967
158	370	1960
159	372	1953
160	372	1943
161	374	1935
162	375	1926
163	376	1918
164	379	1920
165	382	1922
166	383	1915
167	385	1907
168	386	1901
169	388	1895
170	389	1886
171	390	1878
172	391	1869
173	394	1874
174	396	1870
175	398	1863
176	399	1857
177	400	1850
178	402	1844
179	403	1837
180	404	1829
181	405	1823
182	409	1829
183	411	1824
184	412	1818
185	414	1812
186	415	1805
187	416	1798
188	417	1792
189	418	1785
190	420	1779
191	421	1773
192	424	1776
193	426	1772
194	428	1768
195	429	1762
196	430	1756
197	431	1749
198	433	1743
199	435	1741
200	438	1741
201	440	1740
202	441	1734
203	443	1729
204	444	1723
205	445	1716
206	446	1710
207	447	1704
208	449	1702
209	453	1705
210	454	1701
211	456	1695
212	457	1689
213	458	1684
214	459	1678
215	460	1672
216	462	1668
217	464	1667
218	468	1672
219	471	1670
220	472	1665
221	473	1660
222	474	1654
223	476	1649
224	477	1643
225	478	1639
226	480	1636
227	482	1634
228	484	1630
229	485	1626
230	487	1621
231	488	1616
232	489	1610
233	490	1604
234	490	1598
235	494	1601
236	497	1600
237	498	1596
238	500	1592
239	501	1586
240	502	1581
241	503	1576
242	504	1570
243	505	1566
244	508	1567
245	510	1563
246	511	1560
247	513	1555
248	514	1550
249	514	1544
250	515	1539
251	516	1534
252	517	1528
253	518	1523
254	520	1521
255	522	1519
256	524	1515
257	525	1511
258	526	1507
259	527	1502
260	529	1498
261	530	1493
262	531	1488
263	532	1485
264	536	1487
265	537	1483
266	538	1479
267	540	1475
268	541	1470
269	542	1465
270	543	1461
271	544	1457
272	546	1454
273	547	1451
274	549	1447
275	550	1444
276	551	1440
277	553	1436
278	554	1432
279	555	1428
280	556	1424
281	558	1420
282	559	1416
283	560	1414
284	562	1411
285	563	1408
286	565	1403
287	566	1399
288	566	1394
289	567	1390
290	568	1386
291	570	1382
292	571	1379
293	572	1375
294	575	1374
295	577	1374
296	579	1370
297	580	1367
298	581	1363
299	582	1359
300	583	1355
301	584	1351
302	585	1347
303	586	1343
304	590	1345
305	592	1344
306	594	1341
307	595	1338
308	596	1334
309	598	1331
310	599	1327
311	600	1323
312	601	1319
313	602	1316
314	605	1316
315	606	1312
316	607	1308
317	608	1305
318	609	1301
319	610	1298
320	611	1294
321	613	1290
322	613	1286
323	615	1283
324	616	1280
325	620	1282
326	621	1279
327	623	1277
328	624	1274
329	625	1270
330	627	1267
331	628	1264
332	629	1260
333	631	1258
334	633	1258
335	635	1256
336	637	1253
337	638	1250
338	640	1248
339	641	1245
340	642	1241
341	643	1238
342	646	1238
343	648	1236
344	649	1233
345	651	1230
346	652	1227
347	653	1224
348	654	1221
349	655	1218
350	657	1214
351	658	1212
352	663	1216
353	665	1214
354	666	1210
355	667	1207
356	668	1204
357	670	1201
358	670	1198
359	672	1194
360	674	1193
361	676	1191
362	677	1188
363	678	1185
364	679	1182
365	680	1179
366	682	1177
367	683	1174
368	684	1171
369	686	1169
370	689	1169
371	691	1166
372	692	1163
373	693	1160
374	694	1157
375	695	1154
376	696	1150
377	697	1147
378	698	1143
379	698	1140
380	700	1137
381	701	1135
382	702	1132
383	703	1128
384	705	1126
385	706	1123
386	707	1120
387	708	1117
388	709	1113
389	710	1110
390	711	1107
391	712	1104
392	712	1101
393	713	1097
394	715	1095
395	716	1092
396	717	1090
397	718	1087
398	719	1084
399	720	1081
400	721	1078
401	722	1075
402	723	1072
403	724	1069
404	725	1066
405	726	1063
406	727	1060
407	728	1056
408	729	1054
409	731	1051
410	732	1049
411	733	1046
412	734	1043
413	735	1041
414	736	1038
415	737	1035
416	738	1032
417	739	1029
418	741	1027
419	742	1025
420	744	1023
421	745	1021
422	747	1019
423	748	1017
424	750	1014
425	751	1012
426	752	1009
427	753	1006
428	754	1004
429	756	1002
430	758	1001
431	760	1000
432	761	997
433	763	995
434	764	992
435	765	990
436	767	988
437	767	985
438	768	982
439	769	979
440	772	979
441	774	977
442	775	974
443	776	972
444	777	970
445	778	967
446	779	964
447	780	961
448	781	958
449	782	956
450	783	953
451	784	950
452	789	953
453	791	951
454	792	949
455	793	947
456	795	945
457	796	942
458	797	940
459	798	937
460	802	938
461	803	935
462	805	934
463	806	931
464	808	929
465	808	927
466	809	924
467	810	921
468	811	918
469	812	916
470	814	914
471	817	913
472	818	911
473	819	909
474	820	907
475	821	904
476	823	902
477	824	899
478	825	897
479	826	895
480	829	894
481	830	892
482	832	891
483	833	888
484	834	886
485	835	884
486	837	881
487	838	879
488	839	876
489	840	874
490	842	873
491	844	871
492	845	869
493	846	866
494	847	864
495	848	862
496	849	859
497	850	857
498	851	854
499	852	852
500	853	850
501	855	848
502	858	848
503	860	846
504	862	844
505	863	842
506	864	840
507	865	838
508	866	836
509	867	833
510	869	832
511	873	832
512	874	830
513	875	828
514	877	826
515	878	823
516	879	821
517	880	819
518	881	817
519	883	815
520	887	815
521	889	814
522	890	812
523	891	809
524	892	807
525	893	805
526	894	802
527	895	800
528	896	798
529	898	796
530	901	796
531	903	794
532	904	792
533	905	790
534	906	788
535	907	785
536	908	783
537	909	781
538	910	778
539	911	776
540	913	775
541	915	773
542	916	771
543	918	769
544	919	767
545	920	765
546	921	763
547	923	761
548	924	759
549	925	757
550	926	755
551	928	753
552	930	751
553	931	749
554	932	747
555	934	745
556	935	743
557	936	741
558	937	739
559	938	737
560	939	735
561	941	734
562	944	733
563	945	731
564	946	729
565	948	726
566	949	724
567	950	722
568	951	720
569	952	718
570	953	716
571	955	714
572	957	713
573	958	711
574	960	709
575	961	707
576	963	706
577	964	703
578	965	701
579	966	699
580	968	698
581	971	697
582	973	696
583	974	694
584	976	692
585	977	690
586	978	688
587	979	686
588	980	684
589	983	683
590	986	682
591	988	681
592	989	679
593	991	677
594	992	675
595	993	673
596	995	671
597	997	670
598	999	669
599	1003	669
600	1004	667
601	1006	665
602	1008	663
603	1009	662
604	1011	660
605	1015	660
606	1017	658
607	1020	658
608	1022	656
609	1024	655
610	1027	653
611	1030	653
612	1032	651
613	1034	650
614	1036	648
615	1038	647
616	1041	646
617	1043	645
618	1045	643
619	1047	641
620	1050	641
621	1052	639
622	1053	637
623	1055	636
624	1059	635
625	1061	633
626	1062	632
627	1063	630
628	1064	628
629	1075	631
630	1077	630
631	1078	628
632	1079	626
633	1081	624
634	1083	622
635	1084	620
636	1086	618
637	1087	617
638	1090	615
639	1091	614
640	1093	612
641	1094	610
642	1095	608
643	1096	606
644	1103	607
645	1104	605
646	1106	603
647	1108	601
648	1109	599
649	1110	598
650	1112	596
651	1116	595
652	1118	594
653	1120	592
654	1122	591
655	1124	589
656	1125	587
657	1127	585
658	1130	585
659	1132	583
660	1134	581
661	1135	579
662	1137	578
663	1138	576
664	1140	574
665	1146	575
666	1149	573
